Start,End
The shadow of the Cross is a sanctuary where your darkness finds no home.,
"At the foot of the Cross, your demonic claim is buried and forgotten.",
The wood of the Cross is the bridge that carries souls far beyond your reach.,
"Death could not hold Him, and neither shall your darkness hold holy souls.",
"I speak the Name that the grave could not swallow, and your power is undone.",
"I come in the Name of the Lord, before whom you must bow.",
The King of Kings has walked the valley of death and returned with the keys to your prison.,
I invoke Heavenly Light to blind your eyes of sin.,
"I do not fear the shadow, for I am the vessel of the Light that creates it.",
"Demon, you tremble not at my voice, but at the One who speaks through me.",
The peace I speak into this room is a weight that your chaos cannot lift.,
"With holy light, your every hiding place is consumed.",
"Heavenly Grace incinerates your vile, demonic influence.",
I bless what you have touched.,
"Lord, let Thy holiness be a furnace to this intruder.",
Righteous Power destroys your curse.,
"By the Shield of Faith, your demonic assault is ended.",
Let the Spirit’s whisper be a thunder in your ears.,
I invoke Holy Wrath to annihilate your satanic infestation.,
"Behold, The keys of the kingdom lock your demonic gates.",
"By Power of Holy Light, your darkness is rejected.",
My Unyielding faith withers your presence.,
The Lion of Judah has prevailed. Let the roar of His Mercy be the sound of your undoing.,
"Through the Breath of Life, your unholy rot is expelled.",
"Demon, you seek a home in the dark, but I have brought the Sun inside these walls.",
"By the Power of God, your malevolent influence is crushed.",
"By the Scepter of Power, your demonic dominion is revoked.",
The Holy Spirit flows from my hands to sanctify the air you have poisoned,
May Divine justice purges your presence in this world.,
"By Every saint's prayer, your terror halts now.",
I unleash the Wrath of God as a scouring light to hunt and destroy your demonic shadow.,
The Holy Spirit is a fire within me that melts your icy malice.,
May the incense of my prayer suffocate your unholy hunger.,
The crown of thorns has broken the power of your jagged darkness.,
I drench your fire with the ocean of Divine Mercy until it dies.,
The hands that were pierced now reach out to dissolve your grip.,
Your darkness is a parasite that the light of the Spirit now ejects.,
I speak the language of the Garden to heal the earth you have scorched.,
I bless the dark corners of this room until they forget your name.,
I stand in the eternal present where your evil has already perished.,
I map the coordinates of Heaven over the dark places where you hide.,
"Your chains are made of smoke, and the breath of my prayer scatters them.",
I plant the seeds of the Spirit in the furrows your claws have carved.,
I speak the Alpha to your beginning and the Omega to your end.,
